,withoutThreshold,withThreshold,thresholdValue
962,75362,163645,290
963,70569,163645,290
964,14469,163645,290
965,134047,163645,290
966,16519,163645,290
967,81826,163645,290
968,5502,163645,290
969,223729,163645,290
970,197556,163645,290
971,112359,163645,290
972,3728,163645,290
973,29099,163645,290
974,202359,163645,290
975,1202,163645,290
976,33750,163645,290
977,17548,163645,290
978,38760,163645,290
979,22369,163645,290
980,49929,163645,290
981,11682,163645,290
982,75002,163645,290
983,127804,163645,290
984,721,163645,290
985,978,163645,290
986,32302,163645,290
987,56950,163645,290
988,115484,163645,290
989,3707,163645,290
990,8606,163645,290
991,46170,163645,290
992,16169,163645,290
993,18569,163645,290
994,48873,163645,290
995,27352,163645,290
996,42235,163645,290
997,53086,163645,290
998,50298,163645,290
999,167235,163645,290
1000,949,160501,300
1001,104500,160501,300
1002,84530,160501,300
1003,10913,160501,300
1004,38229,160501,300
1005,51411,160501,300
1006,123204,160501,300
1007,63020,160501,300
1008,125954,160501,300
1009,46876,160501,300
1010,45791,160501,300
1011,30766,160501,300
1012,35557,160501,300
1013,110491,160501,300
1014,75578,160501,300
1015,18589,160501,300
1016,34653,160501,300
1017,12273,160501,300
1018,139505,160501,300
1019,124963,160501,300
1020,75676,160501,300
1021,10502,160501,300
1022,17261,160501,300
1023,41997,160501,300
1024,53111,160501,300
1025,53476,160501,300
1026,41881,160501,300
1027,44197,160501,300
1028,737,160501,300
1029,28111,160501,300
1030,19721,160501,300
1031,185568,160501,300
1032,40200,160501,300
1033,90081,160501,300
1034,4183,160501,300
1035,4738,160501,300
1036,5987,160501,300
1037,82060,160501,300
1038,54520,160501,300
1039,25933,160501,300
1040,16481,160501,300
1041,22117,160501,300
1042,79739,160501,300
1043,27027,160501,300
1044,25682,160501,300
1045,1407,160501,300
1046,7363,160501,300
1047,77982,160501,300
1048,116907,160501,300
1049,17280,160501,300
1050,9785,162392,310
1051,134619,162392,310
1052,5838,162392,310
1053,31414,162392,310
1054,7338,162392,310
1055,86384,162392,310
1056,13558,162392,310
1057,47210,162392,310
1058,30954,162392,310
1059,72982,162392,310
1060,8007,162392,310
1061,2284,162392,310
1062,55354,162392,310
1063,108904,162392,310
1064,32875,162392,310
1065,134311,162392,310
1066,143959,162392,310
1067,95272,162392,310
1068,25440,162392,310
1069,4438,162392,310
1070,24523,162392,310
1071,16117,162392,310
1072,4668,162392,310
1073,95192,162392,310
1074,106081,162392,310
1075,96699,162392,310
1076,1729,162392,310
1077,6134,162392,310
1078,2400,162392,310
1079,35163,162392,310
1080,9414,162392,310
1081,31060,162392,310
1082,8873,162392,310
1083,68487,162392,310
1084,61625,162392,310
1085,55304,162392,310
1086,50495,162392,310
1087,116288,162392,310
1088,8897,162392,310
1089,47826,162392,310
1090,70265,162392,310
1091,12830,162392,310
1092,37987,162392,310
1093,77044,162392,310
1094,3873,162392,310
1095,69412,162392,310
1096,136501,162392,310
1097,1711,162392,310
1098,135,162392,310
1099,38833,162392,310
1100,26310,167861,320
1101,81070,167861,320
1102,70978,167861,320
1103,8088,167861,320
1104,3166,167861,320
1105,48960,167861,320
1106,3872,167861,320
1107,4515,167861,320
1108,56748,167861,320
1109,192077,167861,320
1110,36000,167861,320
1111,77981,167861,320
1112,27326,167861,320
1113,76359,167861,320
1114,60848,167861,320
1115,1354,167861,320
1116,12385,167861,320
1117,9997,167861,320
1118,207717,167861,320
1119,109611,167861,320
1120,18244,167861,320
1121,19724,167861,320
1122,24059,167861,320
1123,19397,167861,320
1124,97276,167861,320
1125,120582,167861,320
1126,26649,167861,320
1127,18888,167861,320
1128,44504,167861,320
1129,27444,167861,320
1130,116950,167861,320
1131,9457,167861,320
1132,44120,167861,320
1133,54888,167861,320
1134,57276,167861,320
1135,68047,167861,320
1136,11563,167861,320
1137,6237,167861,320
1138,44484,167861,320
1139,2288,167861,320
1140,5121,167861,320
1141,136503,167861,320
1142,31980,167861,320
1143,576,167861,320
1144,155797,167861,320
1145,25759,167861,320
1146,84782,167861,320
1147,19755,167861,320
1148,70584,167861,320
1149,20126,167861,320
