,withoutThreshold,withThreshold,thresholdValue
325,5240,169364,300
326,8016,170240,300
327,14461,158173,300
328,42994,129468,300
329,3841,186187,300
330,8410,158173,300
331,3455,158173,300
332,12068,158173,300
333,17783,220770,300
334,96,158073,300
335,0,158173,300
336,13203,158173,300
337,7180,129468,300
338,2846,158173,300
339,20259,158173,300
340,4700,158173,300
341,839,220770,300
342,65851,158173,300
343,1518,158173,300
344,4837,158173,300
345,16,156719,300
346,4117,158173,300
347,5327,158173,300
348,56284,158173,300
349,396,158173,300
